name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
CZ75-Auto | Army Sheen (Factory New),CZ75-Auto | Army Sheen (Factory New),197,150,$1.50,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4899011506', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0v73cC9P9eOlnImFksj4OrzZgiUDvpIi3O2VrYn02A21_kFkZzimdofGJAc_Y1HSqAK9lObo1JO6vpjI1zI97bVJKki2', 'tradable': 1, 'name': 'CZ75-Auto | Army Sheen (Factory New)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Pistol', 'market_name': 'CZ75-Auto | Army Sheen (Factory New)', 'market_hash_name': 'CZ75-Auto | Army Sheen (Factory New)', 'commodity': 0}",$1.44
CZ75-Auto | Army Sheen (Field-Tested),CZ75-Auto | Army Sheen (Field-Tested),132,61,$0.61,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902790963', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0v73cC9P9eOlnImFksj5Nr_Yg2Yfv5dwiLjHpdyjjgS18kZlNW2gcdCSIQQ8ZF7SqQLtl7vp18C97ZvNwGwj5He_r99Vaw', 'tradable': 1, 'name': 'CZ75-Auto | Army Sheen (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Pistol', 'market_name': 'CZ75-Auto | Army Sheen (Field-Tested)', 'market_hash_name': 'CZ75-Auto | Army Sheen (Field-Tested)', 'commodity': 0}",$0.59
CZ75-Auto | Army Sheen (Minimal Wear),CZ75-Auto | Army Sheen (Minimal Wear),129,94,$0.94,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901634778', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0v73cC9P9eOlnImFksj4OrzZgiUDvpIi3O2VrYn02A21_kFkZzimdofGJAc_Y1HSqAK9lObo1JO6vpjI1zI97bVJKki2', 'tradable': 1, 'name': 'CZ75-Auto | Army Sheen (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Pistol', 'market_name': 'CZ75-Auto | Army Sheen (Minimal Wear)', 'market_hash_name': 'CZ75-Auto | Army Sheen (Minimal Wear)', 'commodity': 0}",$0.90
CZ75-Auto | Chalice (Factory New),CZ75-Auto | Chalice (Factory New),15,28809,$288.09,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4899620076', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0v73YzJb7dCJmImMn-O6NeLXwWlVsMAk2buQ842l3QPmqhc_YTv0I4aQcgA-aQ3V_1a-krq-04j84sqdvOTuGQ', 'tradable': 1, 'name': 'CZ75-Auto | Chalice (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted Pistol', 'market_name': 'CZ75-Auto | Chalice (Factory New)', 'market_hash_name': 'CZ75-Auto | Chalice (Factory New)', 'commodity': 0}",$275.57
CZ75-Auto | Circaetus (Battle-Scarred),CZ75-Auto | Circaetus (Battle-Scarred),1943,9,$0.09,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902758097', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueOhnImZm-D9Pb_unm5Q_tw_3LGXoNnw3AexrRA4a231ctScIFA-aAvT_gLsxb_t1JO9tM6bwHViuD5iuyijQvqM0A', 'tradable': 1, 'name': 'CZ75-Auto | Circaetus (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Circaetus (Battle-Scarred)', 'market_hash_name': 'CZ75-Auto | Circaetus (Battle-Scarred)', 'commodity': 0}",$0.08
CZ75-Auto | Circaetus (Factory New),CZ75-Auto | Circaetus (Factory New),239,46,$0.46,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4429069864', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueOhnImZm-D9Pb_ummJW4NE_0r-XpdWi3wTj_0VqZmygJ4OVIFQ5M1jY_QC2ku65hMC97pjMnXJi7D5iuyjMo85cwA', 'tradable': 1, 'name': 'CZ75-Auto | Circaetus (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Circaetus (Factory New)', 'market_hash_name': 'CZ75-Auto | Circaetus (Factory New)', 'commodity': 0}",$0.44
CZ75-Auto | Circaetus (Field-Tested),CZ75-Auto | Circaetus (Field-Tested),1688,11,$0.11,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902753695', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueOhnImZm-D9Pb_um25V4dB8xL6QrYjxiVHirRdlMT3xJ4aWdlJqMFvSr1ftwLi-1pW8us-YwCExsyc8pSGKfc0ePe4', 'tradable': 1, 'name': 'CZ75-Auto | Circaetus (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Circaetus (Field-Tested)', 'market_hash_name': 'CZ75-Auto | Circaetus (Field-Tested)', 'commodity': 0}",$0.10
CZ75-Auto | Circaetus (Minimal Wear),CZ75-Auto | Circaetus (Minimal Wear),626,19,$0.19,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4428758650', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueOhnImZm-D9Pb_ummJW4NE_0r-XpdWi3wTj_0VqZmygJ4OVIFQ5M1jY_QC2ku65hMC97pjMnXJi7D5iuyjMo85cwA', 'tradable': 1, 'name': 'CZ75-Auto | Circaetus (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Circaetus (Minimal Wear)', 'market_hash_name': 'CZ75-Auto | Circaetus (Minimal Wear)', 'commodity': 0}",$0.18
CZ75-Auto | Circaetus (Well-Worn),CZ75-Auto | Circaetus (Well-Worn),618,11,$0.11,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4428757036', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueOhnImZm-D9Pb_um25V4dB8xL6QrYjxiVHirRdlMT3xJ4aWdlJqMFvSr1ftwLi-1pW8us-YwCExsyc8pSGKfc0ePe4', 'tradable': 1, 'name': 'CZ75-Auto | Circaetus (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Circaetus (Well-Worn)', 'market_hash_name': 'CZ75-Auto | Circaetus (Well-Worn)', 'commodity': 0}",$0.10
CZ75-Auto | Crimson Web (Battle-Scarred),CZ75-Auto | Crimson Web (Battle-Scarred),77,107,$1.07,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '350478014', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf2-r3ZjhA_-O-kYGdjrmiMe_SwTMCv8Aki7-S8Y-giQzn-hdpMWDyLIWSdgE2ZVnUr1W7l-rqm9bi6z9S04Sz', 'tradable': 1, 'name': 'CZ75-Auto | Crimson Web (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Crimson Web (Battle-Scarred)', 'market_hash_name': 'CZ75-Auto | Crimson Web (Battle-Scarred)', 'commodity': 0}",$1.03
